C,penalty,solver,max_iter,class_weight,random_state,score,trial_number,training_score,cv_folds,l1_ratio
0.044161171731167466,l2,saga,1000,,42,0.8858466406303532,0,0.9999850095660188,5,
0.044161171731167466,l2,saga,1000,,42,0.8858466406303532,0,0.9999850095660188,5,
0.8819150076842528,,lbfgs,1000,,42,0.8862588663774704,1,0.9999916120576889,5,
0.8819150076842528,,lbfgs,1000,,42,0.8862588663774704,1,0.9999916120576889,5,
0.04791829087010756,l2,lbfgs,1000,,42,0.8854004973830424,2,0.999974926626766,5,
0.04791829087010756,l2,lbfgs,1000,,42,0.8854004973830424,2,0.999974926626766,5,
0.00994424096096673,l2,liblinear,1000,,42,0.8850314710773182,3,0.9999651188438636,5,
0.00994424096096673,l2,liblinear,1000,,42,0.8850314710773182,3,0.9999651188438636,5,
5.669031695610396,l1,liblinear,1000,,42,0.8589998603759676,4,0.9999995748391597,5,
5.669031695610396,l1,liblinear,1000,,42,0.8589998603759676,4,0.9999995748391597,5,
0.0005654836304044196,l2,sag,1000,balanced,42,0.8840964435614602,5,0.9999447218948052,5,
0.0005654836304044196,l2,sag,1000,balanced,42,0.8840964435614602,5,0.9999447218948052,5,
16.771733756746485,l1,saga,1000,,42,0.8206500402378251,6,0.9999997566170103,5,
16.771733756746485,l1,saga,1000,,42,0.8206500402378251,6,0.9999997566170103,5,
14.441258442889817,l2,lbfgs,1000,balanced,42,0.8362655355208337,7,0.9999997345679902,5,
14.441258442889817,l2,lbfgs,1000,balanced,42,0.8362655355208337,7,0.9999997345679902,5,
0.0001578887075817986,l1,liblinear,1000,balanced,42,0.8787346162061628,8,0.9999995309369044,5,
0.0001578887075817986,l1,liblinear,1000,balanced,42,0.8787346162061628,8,0.9999995309369044,5,
4.616267954307342,l2,newton-cg,1000,,42,0.8857746077892655,9,0.9999976097973903,5,
4.616267954307342,l2,newton-cg,1000,,42,0.8857746077892655,9,0.9999976097973903,5,
0.6796143352193719,,lbfgs,1000,balanced,42,0.8336081561127667,10,0.9999997345679901,5,
0.6796143352193719,,lbfgs,1000,balanced,42,0.8336081561127667,10,0.9999997345679901,5,
0.22867475466389778,l2,saga,1000,,42,0.8860384889170989,11,0.9999959618842511,5,
0.22867475466389778,l2,saga,1000,,42,0.8860384889170989,11,0.9999959618842511,5,
0.5547096945142623,l2,saga,1000,,42,0.8856876918913577,12,0.9999981601763364,5,
0.5547096945142623,l2,saga,1000,,42,0.8856876918913577,12,0.9999981601763364,5,
0.6422795811544618,,newton-cg,1000,,42,0.8857973144492052,13,0.9999974073945024,5,
0.6422795811544618,,newton-cg,1000,,42,0.8857973144492052,13,0.9999974073945024,5,
62.85272046926639,,sag,1000,,42,0.7562123880317394,14,0.9999998228867784,5,
62.85272046926639,,sag,1000,,42,0.7562123880317394,14,0.9999998228867784,5,
0.004013240360422855,elasticnet,saga,1000,,42,0.8853907791392197,15,0.9999685832801102,5,0.4361925273301675
0.004013240360422855,elasticnet,saga,1000,,42,0.8853907791392197,15,0.9999685832801102,5,0.4361925273301675
0.19314923567424844,,lbfgs,1000,,42,0.8862588663774704,16,0.9999916120576889,5,
0.19314923567424844,,lbfgs,1000,,42,0.8862588663774704,16,0.9999916120576889,5,
2.0942576603105536,,lbfgs,1000,,42,0.8862588663774704,17,0.9999916120576889,5,
2.0942576603105536,,lbfgs,1000,,42,0.8862588663774704,17,0.9999916120576889,5,
0.008535308326469326,,lbfgs,1000,balanced,42,0.8336081561127667,18,0.9999997345679901,5,
0.008535308326469326,,lbfgs,1000,balanced,42,0.8336081561127667,18,0.9999997345679901,5,
0.12346630964266325,,lbfgs,1000,,42,0.8862588663774704,19,0.9999916120576889,5,
0.12346630964266325,,lbfgs,1000,,42,0.8862588663774704,19,0.9999916120576889,5,
0.001929243596044996,,lbfgs,1000,,42,0.8862588663774704,20,0.9999916120576889,5,
0.001929243596044996,,lbfgs,1000,,42,0.8862588663774704,20,0.9999916120576889,5,
1.8011694335348833,,lbfgs,1000,,42,0.8862588663774704,21,0.9999916120576889,5,
1.8011694335348833,,lbfgs,1000,,42,0.8862588663774704,21,0.9999916120576889,5,
2.0923887147861553,,lbfgs,1000,,42,0.8862588663774704,22,0.9999916120576889,5,
2.0923887147861553,,lbfgs,1000,,42,0.8862588663774704,22,0.9999916120576889,5,
0.23512730090874437,,lbfgs,1000,,42,0.8862588663774704,23,0.9999916120576889,5,
0.23512730090874437,,lbfgs,1000,,42,0.8862588663774704,23,0.9999916120576889,5,
0.03211832071439494,,lbfgs,1000,,42,0.8862588663774704,24,0.9999916120576889,5,
0.03211832071439494,,lbfgs,1000,,42,0.8862588663774704,24,0.9999916120576889,5,
1.5873869860362533,l2,newton-cg,1000,,42,0.883928543873094,25,0.9999992569665753,5,
1.5873869860362533,l2,newton-cg,1000,,42,0.883928543873094,25,0.9999992569665753,5,
72.41186319587808,,lbfgs,1000,balanced,42,0.8336081561127667,26,0.9999997345679901,5,
72.41186319587808,,lbfgs,1000,balanced,42,0.8336081561127667,26,0.9999997345679901,5,
16.76468862156945,,sag,1000,,42,0.7562123880317394,27,0.9999998228867784,5,
16.76468862156945,,sag,1000,,42,0.7562123880317394,27,0.9999998228867784,5,
0.22387250806053974,l2,lbfgs,1000,,42,0.8860343408342453,28,0.9999877909720738,5,
0.22387250806053974,l2,lbfgs,1000,,42,0.8860343408342453,28,0.9999877909720738,5,
0.04112736321096468,,lbfgs,1000,,42,0.8862588663774704,29,0.9999916120576889,5,
0.04112736321096468,,lbfgs,1000,,42,0.8862588663774704,29,0.9999916120576889,5,
4.35730942283082,,lbfgs,1000,,42,0.8862588663774704,30,0.9999916120576889,5,
4.35730942283082,,lbfgs,1000,,42,0.8862588663774704,30,0.9999916120576889,5,
0.10867127762656172,,lbfgs,1000,,42,0.8862588663774704,31,0.9999916120576889,5,
0.10867127762656172,,lbfgs,1000,,42,0.8862588663774704,31,0.9999916120576889,5,
0.15898343355462985,,lbfgs,1000,,42,0.8862588663774704,32,0.9999916120576889,5,
0.15898343355462985,,lbfgs,1000,,42,0.8862588663774704,32,0.9999916120576889,5,
0.022799393269536044,,lbfgs,1000,,42,0.8862588663774704,33,0.9999916120576889,5,
0.022799393269536044,,lbfgs,1000,,42,0.8862588663774704,33,0.9999916120576889,5,
0.07705034631709194,l2,liblinear,1000,,42,0.8860656802757919,34,0.9999898585146154,5,
0.07705034631709194,l2,liblinear,1000,,42,0.8860656802757919,34,0.9999898585146154,5,
0.48783864269945343,,lbfgs,1000,,42,0.8862588663774704,35,0.9999916120576889,5,
0.48783864269945343,,lbfgs,1000,,42,0.8862588663774704,35,0.9999916120576889,5,
0.016224360155066748,l2,sag,1000,,42,0.8853409914205239,36,0.9999732260763446,5,
0.016224360155066748,l2,sag,1000,,42,0.8853409914205239,36,0.9999732260763446,5,
0.972395641466048,l2,liblinear,1000,balanced,42,0.8815454602040366,37,0.9999993334351444,5,
0.972395641466048,l2,liblinear,1000,balanced,42,0.8815454602040366,37,0.9999993334351444,5,
0.06663807980587452,,lbfgs,1000,,42,0.8862588663774704,38,0.9999916120576889,5,
0.06663807980587452,,lbfgs,1000,,42,0.8862588663774704,38,0.9999916120576889,5,
3.9868992650843125,,newton-cg,1000,,42,0.8857973144492052,39,0.9999974073945024,5,
3.9868992650843125,,newton-cg,1000,,42,0.8857973144492052,39,0.9999974073945024,5,
0.36374663713665967,,lbfgs,1000,balanced,42,0.8336081561127667,40,0.9999997345679901,5,
0.36374663713665967,,lbfgs,1000,balanced,42,0.8336081561127667,40,0.9999997345679901,5,
0.0031141578251666475,,lbfgs,1000,,42,0.8862588663774704,41,0.9999916120576889,5,
0.0031141578251666475,,lbfgs,1000,,42,0.8862588663774704,41,0.9999916120576889,5,
0.0006758819744396241,,lbfgs,1000,,42,0.8862588663774704,42,0.9999916120576889,5,
0.0006758819744396241,,lbfgs,1000,,42,0.8862588663774704,42,0.9999916120576889,5,
9.083531489087356,,lbfgs,1000,,42,0.8862588663774704,43,0.9999916120576889,5,
9.083531489087356,,lbfgs,1000,,42,0.8862588663774704,43,0.9999916120576889,5,
0.0001855615189101149,,lbfgs,1000,,42,0.8862588663774704,44,0.9999916120576889,5,
0.0001855615189101149,,lbfgs,1000,,42,0.8862588663774704,44,0.9999916120576889,5,
0.0006922690842671948,l1,saga,1000,,42,0.8787346162061628,45,0.9999995309369044,5,
0.0006922690842671948,l1,saga,1000,,42,0.8787346162061628,45,0.9999995309369044,5,
1.2253833242630836,l1,liblinear,1000,,42,0.8733106147985689,46,0.9999995309369044,5,
1.2253833242630836,l1,liblinear,1000,,42,0.8733106147985689,46,0.9999995309369044,5,
2.622823024556293,l2,lbfgs,1000,,42,0.8862319082847542,47,0.999991257042085,5,
2.622823024556293,l2,lbfgs,1000,,42,0.8862319082847542,47,0.999991257042085,5,
0.0021205013968315775,l2,sag,1000,balanced,42,0.8850788264784237,48,0.9999709020740626,5,
0.0021205013968315775,l2,sag,1000,balanced,42,0.8850788264784237,48,0.9999709020740626,5,
0.13653464628026513,,newton-cg,1000,,42,0.8857973144492052,49,0.9999974073945024,5,
0.13653464628026513,,newton-cg,1000,,42,0.8857973144492052,49,0.9999974073945024,5,
