objective,metric,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,trial_number,training_score
binary,average_precision,-1,gbdt,111,15,0.15315800047248165,0.8768813980799168,0.6134725497625948,6,74,2.8962578320741002e-05,1.8248779087534926e-05,cpu,42,27.580278281911674,0.8671589729309499,0,0.9994586641165389
binary,average_precision,-1,gbdt,174,18,0.027691864509231872,0.869124986536862,0.8104738746538965,9,60,0.03341803226805682,0.0077404980500934304,cpu,42,27.580278281911674,0.8388913485012974,1,0.9528070896759677
binary,average_precision,-1,gbdt,50,15,0.013209338615655262,0.9157385965308651,0.6109401714836977,10,65,2.739224565059874e-07,0.00019856957808928323,cpu,42,27.580278281911674,0.6425468120709509,2,0.6750509434975579
binary,average_precision,-1,gbdt,61,12,0.08345110143265705,0.8533373313117758,0.9200409913116251,10,39,0.0003808296194319997,4.2266299892690255e-05,cpu,42,27.580278281911674,0.8323857421602608,3,0.9449737922878922
binary,average_precision,-1,gbdt,95,15,0.022799535451927297,0.9461128563481179,0.9989216548127575,10,97,8.143638990436091e-07,6.406315590097069e-06,cpu,42,27.580278281911674,0.7671868149742891,4,0.8436202350241564
binary,average_precision,-1,gbdt,169,14,0.019886301778040714,0.6785817001083131,0.7158927166290376,9,22,0.027230957871887545,3.869431597752119,cpu,42,27.580278281911674,0.795736184158318,5,0.8963119346113635
binary,average_precision,-1,gbdt,133,15,0.10867538799737027,0.9327797844090152,0.9053982924258465,10,10,1.7136238972972892e-07,0.01138541468334331,cpu,42,27.580278281911674,0.885233932564361,6,0.9997717907979851
binary,average_precision,-1,gbdt,106,10,0.07864527562459762,0.9915930113198307,0.8008616170158761,9,20,0.0003593459897114318,0.009160070503935863,cpu,42,27.580278281911674,0.8573197750418406,7,0.9847286808976791
binary,average_precision,-1,gbdt,136,18,0.11373340731942543,0.8448285849876693,0.7083977820561052,7,28,1.0952506824408695e-07,0.0004564574868518367,cpu,42,27.580278281911674,0.8776527559715097,8,0.9997024294161706
binary,average_precision,-1,gbdt,74,20,0.03798314923074223,0.6064869693395321,0.8546821572737067,6,17,6.48292633680228e-07,1.3765632213678949,cpu,42,27.580278281911674,0.7850372698963994,9,0.8713892576475991
binary,average_precision,-1,gbdt,232,12,0.2814644463555119,0.7590495364649037,0.9283232470245202,2,42,1.500758777493963,2.6598386001720256e-08,cpu,42,27.580278281911674,0.8786683938541108,10,0.9999999963404472
binary,average_precision,-1,gbdt,230,12,0.2686410704536564,0.7423746412961921,0.9271378039471094,1,42,8.138852682943712,1.4282920518166141e-08,cpu,42,27.580278281911674,0.8707780055559633,11,0.9999854630345613
binary,average_precision,-1,gbdt,248,12,0.29262585268116853,0.7548167174956611,0.9211139448819861,2,45,1.1328790856512542e-08,1.8983948362216004e-08,cpu,42,27.580278281911674,0.8925923342084153,12,0.9999999963404471
binary,average_precision,-1,gbdt,17,10,0.15880310446424362,0.7880149175555278,0.9949092294538283,3,91,2.1057694380094624e-08,0.09331907348617101,cpu,42,27.580278281911674,0.7380875352466247,13,0.8138389865093583
binary,average_precision,-1,gbdt,186,17,0.167894668515699,0.7038753006173907,0.8783342793428314,4,11,1.2039024547094045e-08,6.420309776382295e-07,cpu,42,27.580278281911674,0.8888704205073701,14,0.9999999890206773
binary,average_precision,-1,gbdt,253,17,0.19701653002496353,0.6884605950864313,0.8714728538611757,4,76,1.03420621249494e-08,5.398190812554276e-07,cpu,42,27.580278281911674,0.8962793361214396,15,0.9999999195919833
binary,average_precision,-1,gbdt,247,17,0.05302586812225609,0.6405322126520983,0.84547603622576,3,80,1.891250382157296e-05,2.7335210622982975e-07,cpu,42,27.580278281911674,0.8857836399006486,16,0.998209213010855
binary,average_precision,-1,gbdt,209,13,0.212345140551467,0.7115991141595223,0.9522498991021117,4,52,1.0811513857795363e-05,3.4246322612829676e-07,cpu,42,27.580278281911674,0.895706129400075,17,0.9999999963404472
binary,average_precision,-1,gbdt,203,20,0.18841501961260648,0.6861715549536761,0.7523049733396442,5,72,2.8956203421661774e-05,3.605194562803061e-07,cpu,42,27.580278281911674,0.8880118743015306,18,0.9999999963404472
binary,average_precision,-1,gbdt,211,13,0.060238981711655065,0.6414089319839651,0.9666200736069699,4,56,5.130705862999357e-06,7.968420529363581e-07,cpu,42,27.580278281911674,0.8855879093002108,19,0.9974362817051569
binary,average_precision,-1,gbdt,158,17,0.2218732411407743,0.716291011473391,0.8404142391883223,7,87,0.015070696737139384,2.699060476597094e-06,cpu,42,27.580278281911674,0.8850127946165562,20,0.9999999963404471
binary,average_precision,-1,gbdt,244,11,0.29390416789882345,0.8027382771895226,0.953517939515063,1,49,1.1715977399410902e-08,5.8132409954242836e-08,cpu,42,27.580278281911674,0.8894027715362974,21,0.9999416206389873
binary,average_precision,-1,gbdt,254,13,0.1213470586665817,0.7489120887159194,0.8864762113571887,3,50,3.1035755710833512e-06,8.220513097551867e-08,cpu,42,27.580278281911674,0.8937680428544434,22,0.9999999341021315
binary,average_precision,-1,gbdt,213,14,0.11954119961455642,0.8030347820562757,0.882520827278875,4,66,0.004138126542499715,1.1946692133767643e-07,cpu,42,27.580278281911674,0.8944122519955976,23,0.9999998388373522
binary,average_precision,-1,gbdt,213,14,0.21191096412267527,0.8017945343404507,0.7641170482379942,5,65,0.0030153152953172574,3.202509235140625e-06,cpu,42,27.580278281911674,0.8858656579386138,24,0.9999999963404471
binary,average_precision,-1,gbdt,201,16,0.09081420030331894,0.6572085134579058,0.8772286006562298,4,78,0.002141005798275031,1.1892410063413272e-07,cpu,42,27.580278281911674,0.8905472990667299,25,0.9999273756329454
binary,average_precision,-1,gbdt,225,14,0.13174457104258078,0.824820337993949,0.8249338737569035,5,33,0.17198646674139237,3.80521980589497e-05,cpu,42,27.580278281911674,0.8926449524339262,26,0.999999992680673
binary,average_precision,-1,gbdt,185,16,0.21431104574194543,0.7105706114757578,0.9574817395283014,4,67,0.00015186819318295598,0.00033841541517748316,cpu,42,27.580278281911674,0.8930641586693471,27,0.9999999926806731
binary,average_precision,-1,gbdt,221,18,0.05740956542071148,0.7717908826977877,0.8714834591087377,2,56,0.0021350054264830274,1.2910185878090638e-06,cpu,42,27.580278281911674,0.8869739014332694,28,0.9987804233136998
binary,average_precision,-1,gbdt,192,13,0.1410896915338998,0.6009835382468797,0.6586561962288304,7,74,7.840935697024313e-05,1.623807605055969e-05,cpu,42,27.580278281911674,0.8754162725838978,29,0.9999999524085372
