C,penalty,solver,max_iter,class_weight,random_state,l1_ratio,score,trial_number,training_score
0.004650653818750843,elasticnet,saga,1000,,42,0.9262925490300581,0.8968493565501713,0,0.9999997013135377
0.004650653818750843,elasticnet,saga,1000,,42,0.9262925490300581,0.8968493565501713,0,0.9999997013135377
0.07273320235255908,l2,newton-cg,1000,balanced,42,,0.8967225113225421,1,0.9999997841971987
0.07273320235255908,l2,newton-cg,1000,balanced,42,,0.8967225113225421,1,0.9999997841971987
0.05786152184681003,l2,saga,1000,,42,,0.8969843620283047,2,0.9999962298465086
0.05786152184681003,l2,saga,1000,,42,,0.8969843620283047,2,0.9999962298465086
29.13605449340287,,sag,1000,balanced,42,,0.7973015325222292,3,0.9999999889146699
29.13605449340287,,sag,1000,balanced,42,,0.7973015325222292,3,0.9999999889146699
0.33683008749509225,l2,newton-cg,1000,,42,,0.8970826725380643,4,0.9999993211867064
0.33683008749509225,l2,newton-cg,1000,,42,,0.8970826725380643,4,0.9999993211867064
0.7040698212555137,,newton-cg,1000,,42,,0.8963511041298426,5,0.9999998283866767
0.7040698212555137,,newton-cg,1000,,42,,0.8963511041298426,5,0.9999998283866767
0.21957921937861558,,lbfgs,1000,,42,,0.8971915104190178,6,0.9999973592106165
0.21957921937861558,,lbfgs,1000,,42,,0.8971915104190178,6,0.9999973592106165
0.21471055930181532,l2,sag,1000,balanced,42,,0.8954370553271557,7,0.9999999335201835
0.21471055930181532,l2,sag,1000,balanced,42,,0.8954370553271557,7,0.9999999335201835
0.006069727261559624,,newton-cg,1000,,42,,0.8963511041298426,8,0.9999998283866767
0.006069727261559624,,newton-cg,1000,,42,,0.8963511041298426,8,0.9999998283866767
0.00028288011878871015,l1,liblinear,1000,,42,,0.8900920722931593,9,0.9999999556722903
0.00028288011878871015,l1,liblinear,1000,,42,,0.8900920722931593,9,0.9999999556722903
17.01234540738666,,lbfgs,1000,balanced,42,,0.8525302768303119,10,0.9999999778326402
17.01234540738666,,lbfgs,1000,balanced,42,,0.8525302768303119,10,0.9999999778326402
1.222870216167252,l2,lbfgs,1000,,42,,0.8971525590565268,11,0.9999970005122756
1.222870216167252,l2,lbfgs,1000,,42,,0.8971525590565268,11,0.9999970005122756
3.8196131501223265,l2,lbfgs,1000,,42,,0.8971807707557564,12,0.9999972399887296
3.8196131501223265,l2,lbfgs,1000,,42,,0.8971807707557564,12,0.9999972399887296
4.365815693002801,l2,lbfgs,1000,,42,,0.8971817764262362,13,0.999997250971322
4.365815693002801,l2,lbfgs,1000,,42,,0.8971817764262362,13,0.999997250971322
79.29483918032554,,lbfgs,1000,,42,,0.8971915104190178,14,0.9999973592106165
79.29483918032554,,lbfgs,1000,,42,,0.8971915104190178,14,0.9999973592106165
93.53472723741051,,lbfgs,1000,,42,,0.8971915104190178,15,0.9999973592106165
93.53472723741051,,lbfgs,1000,,42,,0.8971915104190178,15,0.9999973592106165
0.010828324229455915,l2,liblinear,1000,,42,,0.8962920309405613,16,0.9999872789994865
0.010828324229455915,l2,liblinear,1000,,42,,0.8962920309405613,16,0.9999872789994865
0.0003818612894937529,,lbfgs,1000,,42,,0.8971915104190178,17,0.9999973592106165
0.0003818612894937529,,lbfgs,1000,,42,,0.8971915104190178,17,0.9999973592106165
81.34009181415627,,lbfgs,1000,balanced,42,,0.8525302768303119,18,0.9999999778326402
81.34009181415627,,lbfgs,1000,balanced,42,,0.8525302768303119,18,0.9999999778326402
0.018827679519030454,,lbfgs,1000,,42,,0.8971915104190178,19,0.9999973592106165
0.018827679519030454,,lbfgs,1000,,42,,0.8971915104190178,19,0.9999973592106165
0.0019870732594442966,l1,saga,1000,,42,,0.8900920722931593,20,0.9999999556722903
0.0019870732594442966,l1,saga,1000,,42,,0.8900920722931593,20,0.9999999556722903
90.3317610317362,,lbfgs,1000,,42,,0.8971915104190178,21,0.9999973592106165
90.3317610317362,,lbfgs,1000,,42,,0.8971915104190178,21,0.9999973592106165
18.62939658364361,,lbfgs,1000,,42,,0.8971915104190178,22,0.9999973592106165
18.62939658364361,,lbfgs,1000,,42,,0.8971915104190178,22,0.9999973592106165
3.4193239927353143,,lbfgs,1000,,42,,0.8971915104190178,23,0.9999973592106165
3.4193239927353143,,lbfgs,1000,,42,,0.8971915104190178,23,0.9999973592106165
9.968782204709399,,sag,1000,,42,,0.8202078769553636,24,0.9999999889146699
9.968782204709399,,sag,1000,,42,,0.8202078769553636,24,0.9999999889146699
36.03456247373598,l1,liblinear,1000,,42,,0.8216071795972311,25,0.9999999778326402
36.03456247373598,l1,liblinear,1000,,42,,0.8216071795972311,25,0.9999999778326402
0.0012068584886053553,,lbfgs,1000,balanced,42,,0.8525302768303119,26,0.9999999778326402
0.0012068584886053553,,lbfgs,1000,balanced,42,,0.8525302768303119,26,0.9999999778326402
2.046463100663003,,lbfgs,1000,,42,,0.8971915104190178,27,0.9999973592106165
2.046463100663003,,lbfgs,1000,,42,,0.8971915104190178,27,0.9999973592106165
8.47120009230227,,lbfgs,1000,,42,,0.8971915104190178,28,0.9999973592106165
8.47120009230227,,lbfgs,1000,,42,,0.8971915104190178,28,0.9999973592106165
0.030414449243537457,elasticnet,saga,1000,,42,0.008027741491894336,0.8967879726270641,29,0.9999937948506454
0.030414449243537457,elasticnet,saga,1000,,42,0.008027741491894336,0.8967879726270641,29,0.9999937948506454
0.00011618052673476316,,lbfgs,1000,,42,,0.8971915104190178,30,0.9999973592106165
0.00011618052673476316,,lbfgs,1000,,42,,0.8971915104190178,30,0.9999973592106165
0.0011191912642257004,,lbfgs,1000,,42,,0.8971915104190178,31,0.9999973592106165
0.0011191912642257004,,lbfgs,1000,,42,,0.8971915104190178,31,0.9999973592106165
0.16978282757240226,,lbfgs,1000,,42,,0.8971915104190178,32,0.9999973592106165
0.16978282757240226,,lbfgs,1000,,42,,0.8971915104190178,32,0.9999973592106165
0.00044389655443601006,,lbfgs,1000,,42,,0.8971915104190178,33,0.9999973592106165
0.00044389655443601006,,lbfgs,1000,,42,,0.8971915104190178,33,0.9999973592106165
45.05124983579729,l1,saga,1000,balanced,42,,0.8262173803241949,34,0.9999999889146699
45.05124983579729,l1,saga,1000,balanced,42,,0.8262173803241949,34,0.9999999889146699
0.08722831472520917,l2,sag,1000,,42,,0.8970707334321093,35,0.9999973762539376
0.08722831472520917,l2,sag,1000,,42,,0.8970707334321093,35,0.9999973762539376
0.03397548706323448,l2,newton-cg,1000,,42,,0.8968412910959107,36,0.9999942131786305
0.03397548706323448,l2,newton-cg,1000,,42,,0.8968412910959107,36,0.9999942131786305
0.0039030826567580945,,lbfgs,1000,,42,,0.8971915104190178,37,0.9999973592106165
0.0039030826567580945,,lbfgs,1000,,42,,0.8971915104190178,37,0.9999973592106165
50.1725715815508,l2,liblinear,1000,balanced,42,,0.8533972967950588,38,0.9999999778326402
50.1725715815508,l2,liblinear,1000,balanced,42,,0.8533972967950588,38,0.9999999778326402
0.9166168672557483,,newton-cg,1000,,42,,0.8963511041298426,39,0.9999998283866767
0.9166168672557483,,newton-cg,1000,,42,,0.8963511041298426,39,0.9999998283866767
9.107375016409888,l2,sag,1000,,42,,0.8913964222269837,40,0.9999999445923207
9.107375016409888,l2,sag,1000,,42,,0.8913964222269837,40,0.9999999445923207
0.019936676887669785,,lbfgs,1000,,42,,0.8971915104190178,41,0.9999973592106165
0.019936676887669785,,lbfgs,1000,,42,,0.8971915104190178,41,0.9999973592106165
0.36430488256968346,,lbfgs,1000,,42,,0.8971915104190178,42,0.9999973592106165
0.36430488256968346,,lbfgs,1000,,42,,0.8971915104190178,42,0.9999973592106165
0.00012447583156489987,,lbfgs,1000,,42,,0.8971915104190178,43,0.9999973592106165
0.00012447583156489987,,lbfgs,1000,,42,,0.8971915104190178,43,0.9999973592106165
0.009045404434791094,,lbfgs,1000,,42,,0.8971915104190178,44,0.9999973592106165
0.009045404434791094,,lbfgs,1000,,42,,0.8971915104190178,44,0.9999973592106165
0.423426707601415,,lbfgs,1000,,42,,0.8971915104190178,45,0.9999973592106165
0.423426707601415,,lbfgs,1000,,42,,0.8971915104190178,45,0.9999973592106165
0.00031086605297850285,,lbfgs,1000,balanced,42,,0.8525302768303119,46,0.9999999778326402
0.00031086605297850285,,lbfgs,1000,balanced,42,,0.8525302768303119,46,0.9999999778326402
0.18715732679340807,l2,saga,1000,,42,,0.8971162017915384,47,0.9999987229763357
0.18715732679340807,l2,saga,1000,,42,,0.8971162017915384,47,0.9999987229763357
0.0030592632483880983,l2,newton-cg,1000,,42,,0.8954394000493975,48,0.9999729583792467
0.0030592632483880983,l2,newton-cg,1000,,42,,0.8954394000493975,48,0.9999729583792467
19.036241588872393,l2,lbfgs,1000,,42,,0.8971891040557582,49,0.9999973212182118
19.036241588872393,l2,lbfgs,1000,,42,,0.8971891040557582,49,0.9999973212182118
